300.0
Energy [keV]	Rate [cps]
454	0.11034
455	0.16885
456	0.14691
457	0.17049
458	0.04272
459	0.26969
460	0.17212
461	0.16063
462	0.23847
463	0.09032
464	0.08845
465	0.14037
466	0.07647
467	0.11721
468	0.03261
469	0.10611
470	-0.21810
471	0.11556
472	0.25814
473	0.21956
474	0.09881
475	0.09919
476	-0.07304
477	0.24296
478	0.16386
479	0.09245
480	-0.09535
481	0.01911
482	0.08678
483	0.14987
484	0.05144
485	0.08309
486	0.00671
487	0.13780
488	0.16554
489	0.06365
490	0.14263
491	0.08881
492	0.12909
493	0.00630
494	0.09445
495	-0.05567
496	-0.13578
497	0.11115
498	0.05979
499	0.05776
500	0.21948
501	-0.15658
502	-0.06529
503	-0.10072
504	0.03731
505	0.04318
506	0.36644
507	0.02472
508	0.20833
509	0.02067
510	0.09752
511	0.18413
512	0.00072
513	0.10488
514	-0.02273
515	0.14908
516	0.09459
517	0.13849
518	-0.08521
519	0.18516
520	0.03783
521	0.06232
522	0.28237
523	0.14475
524	0.04874
525	-0.12650
526	0.08427
527	-0.00931
528	-0.02854
529	0.11964
530	0.11157
531	0.17557
532	0.06276
533	0.12194
534	0.11831
535	0.08642
536	0.11838
537	0.26229
538	0.07256
539	-0.06421
540	0.14278
541	0.22407
542	0.12191
543	0.10102
544	0.10174
545	0.10228
546	-0.04682
547	0.12297
548	0.16799
549	0.20823
550	-0.05886
551	0.09048
552	0.09784
553	0.18295
554	0.06567
555	-0.02117
556	0.02723
557	-0.08594
558	0.09316
559	0.00790
560	0.09115
561	0.11578
562	0.01261
563	0.02828
564	0.15332
565	0.16137
566	-0.00599
567	0.08901
568	-0.02986
569	0.02334
570	-0.00624
571	0.03836
572	0.04079
573	-0.06437
574	0.13677
575	-0.00541
576	-0.06273
577	-0.09393
578	0.03313
579	-0.03373
580	0.20628
581	0.34321
582	0.00034
583	-0.02250
584	0.01459
585	0.15588
586	0.11286
587	0.04614
588	0.13211
589	0.13548
590	0.30975
591	0.19311
592	0.15828
593	0.06519
594	0.08720
595	0.15501
596	0.15794
597	-0.05678
598	0.00000
599	0.00000
