300.0
Energy [keV]	Rate [cps]
454	0.58674
455	0.36112
456	0.42214
457	0.48205
458	0.50087
459	0.32740
460	0.28169
461	0.32870
462	0.34583
463	0.23442
464	0.26671
465	0.35224
466	0.08098
467	0.08873
468	0.37815
469	0.03932
470	0.30103
471	0.28662
472	0.24261
473	0.17257
474	0.02117
475	0.22576
476	-0.03962
477	0.07692
478	0.16104
479	0.01760
480	0.16604
481	0.29654
482	0.16703
483	0.13262
484	-0.06848
485	0.01195
486	0.38836
487	-0.04166
488	0.17689
489	0.09081
490	0.24480
491	-0.00330
492	0.05253
493	0.18149
494	0.19972
495	0.38069
496	0.11088
497	0.17136
498	0.03841
499	0.11830
500	0.16293
501	0.08025
502	0.05636
503	0.01970
504	-0.06769
505	0.10312
506	0.27633
507	-0.00826
508	0.17366
509	0.00927
510	0.09239
511	0.18298
512	0.12878
513	0.14606
514	0.24574
515	0.22691
516	-0.02415
517	0.14186
518	0.12957
519	0.11193
520	0.05153
521	0.20121
522	0.32447
523	0.01751
524	-0.01512
525	0.26858
526	0.04576
527	0.19572
528	0.13796
529	0.13359
530	0.15600
531	0.15626
532	0.06458
533	0.10027
534	-0.01381
535	0.08590
536	0.08543
537	0.15216
538	0.15932
539	0.31823
540	0.11807
541	0.19504
542	0.13010
543	0.06994
544	-0.00220
545	-0.08894
546	0.00712
547	0.08196
548	0.15400
549	0.28438
550	0.12834
551	0.14349
552	0.05373
553	0.04175
554	0.24927
555	0.09689
556	0.08195
557	0.11567
558	0.02108
559	0.11042
560	0.06845
561	0.16760
562	0.17386
563	0.07130
564	0.19591
565	0.08644
566	0.04442
567	0.25866
568	0.17527
569	-0.10473
570	-0.05920
571	0.10235
572	0.05679
573	0.05214
574	0.11496
575	0.11248
576	0.19727
577	0.21142
578	0.24182
579	0.01572
580	0.13881
581	-0.01960
582	0.27942
583	-0.04284
584	-0.01839
585	0.05714
586	-0.02451
587	0.10479
588	0.04001
589	0.04458
590	0.01768
591	0.16777
592	-0.07324
593	0.14124
594	0.04306
595	0.10852
596	0.08423
597	0.02534
598	0.00000
599	0.00000
