300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	-0.00217
26	0.11955
27	0.25017
28	0.27063
29	0.44219
30	0.41814
31	0.64884
32	0.67334
33	0.62099
34	0.67176
35	1.08949
36	1.23710
37	1.34592
38	1.39759
39	1.67258
40	1.85582
41	1.88053
42	2.31754
43	2.71455
44	3.21257
45	3.34173
46	3.57465
47	4.39617
48	5.08592
49	5.88290
50	6.24640
51	6.27670
52	6.92410
53	7.22190
54	7.48051
55	6.80593
56	7.61615
57	7.70075
58	8.52261
59	8.07861
60	10.00278
61	10.42118
62	12.00846
63	13.61976
64	14.29176
65	14.97440
66	16.28655
67	17.06881
68	17.64751
69	19.01055
70	19.69633
71	21.08606
72	22.37062
73	23.66772
74	25.85354
75	28.04093
76	32.26025
77	37.00103
78	42.15965
79	49.59018
80	56.33697
81	62.89602
82	68.80125
83	70.69889
84	70.38038
85	66.88635
86	60.44318
87	51.41782
88	42.54925
89	34.30742
90	28.99931
91	24.08847
92	22.13607
93	21.93007
94	22.14352
95	22.03018
96	23.02814
97	21.48117
98	20.18868
99	18.43426
100	16.71384
101	13.42990
102	11.01750
103	8.85464
104	7.69994
105	6.65459
106	5.77862
107	5.24038
108	4.92778
109	5.44545
110	4.67343
111	4.39598
112	4.83038
113	4.26769
114	4.38300
115	4.44106
116	4.87188
117	4.65073
118	5.11748
119	6.01024
120	6.21142
121	6.25138
122	6.47815
123	5.86569
124	6.20455
125	5.76837
126	5.81668
127	6.40068
128	5.64406
129	6.05571
130	5.27710
131	5.81097
132	5.77217
133	6.54208
134	6.49597
135	7.00176
136	6.94398
137	6.64703
138	7.51022
139	7.37610
140	8.38841
141	9.18736
142	10.12340
143	9.98579
144	10.43696
145	11.10607
146	11.40255
147	10.93644
148	11.63185
149	12.10432
150	12.00155
151	13.15744
152	12.87981
153	12.60199
154	13.05072
155	11.99005
156	11.73422
157	11.17978
158	10.62548
159	10.45974
160	10.16858
161	9.13220
162	7.92047
163	7.67293
164	7.22117
165	6.22315
166	5.91360
167	5.12499
168	4.86889
169	4.29003
170	4.26146
171	3.96210
172	4.22045
173	3.70837
174	3.71379
175	3.41459
176	3.56440
177	3.51760
178	3.72654
179	3.48751
180	3.36063
181	2.97727
182	3.58877
183	3.85522
184	2.98634
185	3.00461
186	2.92560
187	3.24367
188	2.36852
189	2.06975
190	2.98200
191	2.43648
192	2.59104
193	2.41895
194	2.83549
195	2.50615
196	2.59418
197	2.47196
198	2.62006
199	2.50341
200	2.14875
201	2.31178
202	2.91657
203	2.39724
204	2.16541
205	2.47455
206	1.95270
207	2.19444
208	1.70454
209	2.58201
210	2.22947
211	2.39704
212	2.05308
213	2.11933
214	1.59264
215	2.13430
216	2.15451
217	2.13241
218	1.96284
219	1.77316
220	1.75769
221	1.95812
222	2.35775
223	2.12757
224	1.96287
225	1.93761
226	2.44002
227	1.96511
228	1.68819
229	1.60626
230	1.97979
231	1.69754
232	1.81951
233	1.75784
234	1.88680
235	1.62587
236	2.03234
237	1.99971
238	1.76692
239	1.96940
240	1.86632
241	1.70107
242	1.87380
243	1.72888
244	1.90443
245	2.13369
246	2.11565
247	2.23448
248	1.94434
249	2.07748
250	2.42530
251	2.71181
252	2.93124
253	3.04154
254	3.64250
255	4.47377
256	4.05457
257	5.05555
258	5.44341
259	5.83360
260	5.97282
261	6.64199
262	7.35347
263	7.21026
264	8.00752
265	8.30024
266	8.69779
267	8.40343
268	8.51453
269	8.73051
270	8.95566
271	8.30508
272	8.13269
273	7.86331
274	8.16677
275	7.30519
276	7.09450
277	7.01424
278	6.23461
279	6.04640
280	6.00319
281	5.10993
282	4.91495
283	3.96477
284	4.02010
285	3.27764
286	2.97809
287	2.67256
288	2.65199
289	2.66851
290	1.93048
291	1.69240
292	1.36668
293	1.51931
294	1.50696
295	1.15386
296	0.90040
297	0.66937
298	0.75174
299	0.68952
300	0.81025
301	0.53816
302	0.80532
303	1.04982
304	0.80775
305	0.75347
306	0.99885
307	0.84567
308	0.94254
309	0.51835
310	1.02557
311	1.20269
312	0.98752
313	1.14144
314	1.14802
315	1.38408
316	1.33067
317	1.25762
318	1.37132
319	1.02477
320	1.71856
321	1.62264
322	1.78642
323	1.69385
324	1.34437
325	1.75994
326	1.94430
327	1.90977
328	2.16993
329	1.89840
330	2.17569
331	2.16945
332	2.03480
333	2.46286
334	1.87697
335	2.23168
336	2.45666
337	2.41591
338	2.90067
339	2.53411
340	2.89744
341	2.79508
342	2.63447
343	3.20231
344	3.23667
345	3.27745
346	3.21791
347	3.04577
348	3.26497
349	2.93448
350	3.00298
351	3.02380
352	2.91225
353	2.95772
354	2.71601
355	2.64380
356	2.92550
357	2.71915
358	2.44717
359	2.48688
360	2.37345
361	2.18004
362	1.96862
363	2.09555
364	1.82170
365	2.09022
366	1.65176
367	1.14677
368	1.45324
369	1.27471
370	1.11069
371	0.89150
372	1.04378
373	0.99791
374	0.96809
375	0.88715
376	0.93911
377	0.68375
378	0.87464
379	0.66721
380	0.84676
381	0.85024
382	0.70715
383	0.71693
384	0.88941
385	1.04310
386	0.84787
387	1.03938
388	1.00182
389	0.97176
390	1.16061
391	0.83643
392	1.40898
393	1.11900
394	1.13605
395	1.38855
396	1.19951
397	1.21182
398	1.53949
399	1.46440
400	1.39664
401	1.44830
402	1.25797
403	1.46730
404	1.61098
405	1.61143
406	1.47314
407	1.33695
408	1.48918
409	1.37986
410	1.23234
411	1.25861
412	1.34801
413	1.24554
