300.0
Energy [keV]	Rate [cps]
454	0.56809
455	0.38547
456	0.42241
457	0.38064
458	0.45969
459	0.42631
460	0.37865
461	0.35169
462	0.50908
463	0.30622
464	0.32177
465	0.21794
466	0.15869
467	0.27720
468	0.20139
469	0.19109
470	0.06669
471	0.12942
472	0.36205
473	0.19790
474	0.18345
475	0.18728
476	0.11029
477	0.35767
478	0.24930
479	0.08397
480	0.06193
481	0.26869
482	0.06323
483	0.11451
484	0.03892
485	0.18943
486	0.14882
487	0.12618
488	0.25492
489	0.05536
490	0.32744
491	-0.05987
492	0.25309
493	0.04159
494	0.06664
495	0.25802
496	0.03542
497	0.19571
498	0.13204
499	0.08094
500	0.27112
501	0.02595
502	0.02504
503	-0.04314
504	0.10039
505	0.32627
506	0.30875
507	-0.00823
508	0.19216
509	0.08878
510	0.13878
511	0.23919
512	0.12869
513	0.29005
514	0.15337
515	0.29806
516	0.07912
517	0.22548
518	-0.04080
519	0.23097
520	0.15304
521	0.22543
522	0.33472
523	0.06768
524	0.16246
525	0.06238
526	0.13586
527	0.09173
528	0.19975
529	0.12948
530	0.17996
531	0.19995
532	0.09175
533	0.16568
534	0.07017
535	0.20683
536	0.14423
537	0.37508
538	0.09315
539	0.27877
540	0.27311
541	0.30907
542	0.13933
543	0.08777
544	0.13616
545	0.06477
546	0.00282
547	0.21786
548	0.18946
549	0.36393
550	0.13892
551	0.11589
552	-0.00001
553	0.19981
554	0.12681
555	0.09815
556	0.14494
557	-0.01327
558	0.03484
559	0.10611
560	0.10874
561	0.24299
562	0.19785
563	0.05426
564	0.25482
565	0.10244
566	-0.02655
567	0.20625
568	0.22946
569	0.01035
570	0.00672
571	0.08051
572	0.14649
573	0.08970
574	0.06167
575	0.06489
576	0.22491
577	0.07655
578	0.25626
579	0.05161
580	0.31096
581	0.09140
582	0.22933
583	0.02477
584	0.10615
585	0.25107
586	0.18189
587	0.07413
588	0.05043
589	0.16293
590	0.14585
591	0.30214
592	0.04909
593	0.13252
594	0.15590
595	0.29731
596	0.18706
597	0.02445
598	0.00000
599	0.00000
