300.0
Energy [keV]	Rate [cps]
454	0.35762
455	0.22379
456	0.09102
457	0.36116
458	0.15592
459	-0.08988
460	0.03144
461	0.06804
462	0.09208
463	0.01655
464	0.02742
465	0.24255
466	0.04841
467	0.02390
468	0.17459
469	-0.16845
470	0.20114
471	0.15345
472	0.12310
473	0.12392
474	0.02140
475	0.14225
476	-0.13860
477	-0.05945
478	0.08707
479	0.04083
480	-0.04135
481	0.08936
482	0.10086
483	0.09483
484	0.06676
485	-0.15393
486	0.27497
487	-0.02374
488	0.06388
489	0.16436
490	0.04852
491	0.06163
492	0.09563
493	0.17366
494	0.16061
495	0.15031
496	0.15223
497	-0.01220
498	-0.18818
499	-0.02957
500	0.12380
501	-0.04105
502	0.01363
503	0.17082
504	0.01121
505	0.00879
506	0.17409
507	-0.05512
508	0.02655
509	-0.04842
510	-0.03090
511	-0.03176
512	-0.02690
513	-0.02677
514	0.20140
515	-0.02612
516	0.01299
517	-0.04055
518	0.06966
519	-0.06223
520	0.02837
521	0.07033
522	0.29199
523	-0.08674
524	-0.20902
525	0.15894
526	-0.03500
527	0.05301
528	-0.06006
529	0.22586
530	0.04915
531	0.17301
532	-0.03245
533	-0.09211
534	0.02433
535	-0.04448
536	-0.01658
537	-0.07906
538	0.02973
539	0.13189
540	0.03663
541	0.13686
542	0.10700
543	-0.14417
544	-0.03351
545	-0.12352
546	0.01942
547	-0.10169
548	0.20773
549	0.05859
550	-0.04628
551	0.08179
552	0.05989
553	0.03803
554	0.09733
555	0.01404
556	0.02001
557	0.04238
558	0.13194
559	-0.01075
560	0.03021
561	0.08570
562	-0.06835
563	-0.05452
564	-0.14240
565	0.07549
566	0.03743
567	0.18143
568	0.08809
569	-0.21790
570	-0.02933
571	0.13989
572	-0.04437
573	-0.10015
574	0.03968
575	0.17321
576	0.12883
577	0.18151
578	0.07400
579	0.04453
580	0.06019
581	-0.00362
582	0.15809
583	-0.10728
584	0.04651
585	-0.03810
586	-0.12883
587	0.14295
588	0.07998
589	0.06081
590	-0.03708
591	0.05606
592	-0.01077
593	-0.01214
594	0.03219
595	0.00559
596	0.01707
597	0.01775
598	0.00000
599	0.00000
