300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.01169
26	0.31534
27	0.55622
28	0.58391
29	0.74505
30	0.89811
31	1.13395
32	1.31744
33	1.47786
34	1.74150
35	2.08670
36	2.35821
37	2.54821
38	3.13721
39	3.36919
40	3.72013
41	4.31817
42	4.44693
43	5.09856
44	5.68349
45	6.34563
46	7.00207
47	7.85639
48	8.56378
49	9.56094
50	10.22995
51	10.87266
52	11.90011
53	11.52408
54	12.13612
55	12.95300
56	13.14223
57	13.72135
58	14.65433
59	15.91371
60	17.33013
61	18.51423
62	20.16429
63	21.68308
64	23.12683
65	24.69489
66	25.95941
67	27.31509
68	27.78722
69	29.95527
70	30.65129
71	33.36780
72	35.57013
73	37.95685
74	40.27173
75	43.67448
76	47.03686
77	51.02519
78	56.63386
79	62.08677
80	69.60379
81	75.53911
82	80.17738
83	83.27633
84	83.35124
85	79.59572
86	72.14513
87	64.70854
88	55.06158
89	49.55552
90	42.53033
91	39.32420
92	36.69168
93	36.06148
94	36.86145
95	36.24654
96	37.17721
97	35.40764
98	34.88330
99	32.67003
100	29.93313
101	27.48291
102	25.22533
103	24.00722
104	22.51261
105	21.15460
106	20.56596
107	20.37945
108	19.92923
109	19.94328
110	20.52714
111	20.00538
112	19.78847
113	19.58874
114	19.91381
115	20.03947
116	20.31717
117	20.69423
118	20.87844
119	20.73240
120	20.95119
121	21.13754
122	21.63910
123	21.16371
124	20.98875
125	21.37927
126	21.44347
127	21.32653
128	21.32328
129	20.63068
130	21.19458
131	21.20740
132	20.78651
133	21.69360
134	21.50054
135	21.31092
136	22.37544
137	22.40419
138	22.92846
139	22.78589
140	23.45934
141	24.13869
142	24.32292
143	24.26784
144	24.92106
145	25.32495
146	25.32818
147	25.51440
148	25.68520
149	25.58821
150	26.57072
151	26.12137
152	26.26556
153	27.23368
154	26.09473
155	25.91860
156	24.74504
157	24.08703
158	23.93986
159	22.98880
160	22.03065
161	21.09145
162	20.25446
163	19.71849
164	18.95139
165	18.35074
166	17.79265
167	17.20158
168	17.32119
169	16.71952
170	16.34192
171	16.47974
172	15.39176
173	15.03136
174	15.86407
175	14.86993
176	15.16580
177	14.87508
178	15.02968
179	15.18702
180	14.55529
181	14.61715
182	14.63152
183	14.05459
184	14.01825
185	13.91173
186	14.18841
187	13.30042
188	13.37767
189	13.35644
190	13.04498
191	13.01642
192	12.90658
193	12.75609
194	12.63096
195	12.63759
196	11.99351
197	12.16019
198	12.27587
199	11.87443
200	12.01334
201	11.99546
202	11.69963
203	11.70317
204	11.42851
205	11.51978
206	11.25644
207	11.17218
208	11.14306
209	11.03227
210	11.22435
211	10.89048
212	10.76021
213	10.68903
214	10.58403
215	10.29940
216	10.42105
217	10.42381
218	10.29299
219	10.24166
220	10.09337
221	10.20989
222	9.68263
223	9.87771
224	9.60435
225	9.88861
226	10.01473
227	10.19922
228	9.87662
229	9.68485
230	9.97247
231	9.97324
232	9.87433
233	9.71953
234	10.00699
235	9.37363
236	9.68380
237	9.75009
238	9.66174
239	9.73958
240	9.36669
241	9.33054
242	9.23922
243	9.16380
244	8.79669
245	8.69073
246	8.97009
247	8.93091
248	8.83898
249	8.70159
250	8.95749
251	8.47243
252	9.54383
253	9.24300
254	9.36573
255	9.88227
256	10.22462
257	10.45570
258	11.15252
259	11.37889
260	11.88108
261	11.76156
262	12.19103
263	12.39362
264	12.81583
265	13.35085
266	13.08029
267	13.42690
268	13.29931
269	13.31169
270	13.40971
271	13.34892
272	13.43158
273	13.15069
274	12.68153
275	12.20971
276	11.96441
277	11.66169
278	11.00352
279	10.76610
280	10.26806
281	9.67783
282	9.15284
283	8.60201
284	8.60413
285	8.12877
286	7.50106
287	7.17153
288	7.01767
289	6.50012
290	6.47834
291	6.09238
292	6.04983
293	5.97212
294	5.66065
295	5.46039
296	5.23709
297	5.41590
298	5.22824
299	5.04367
300	5.09755
301	5.06158
302	4.88715
303	4.94227
304	4.73948
305	4.70254
306	4.92688
307	4.90930
308	4.89986
309	4.90166
310	4.85667
311	4.78397
312	4.86059
313	4.94948
314	4.76742
315	4.57692
316	4.80527
317	4.88127
318	4.97071
319	4.95216
320	4.88612
321	5.19229
322	5.10230
323	5.03828
324	5.35571
325	5.15663
326	5.34257
327	5.31679
328	5.19786
329	5.43171
330	5.46103
331	5.41023
332	5.70967
333	5.90457
334	6.00084
335	5.79439
336	5.80520
337	5.95741
338	5.94039
339	6.07288
340	6.14746
341	5.98898
342	6.30075
343	6.37578
344	6.27031
345	6.46460
346	6.25099
347	6.29591
348	6.32042
349	6.30208
350	6.24314
351	6.08129
352	6.36311
353	5.96652
354	5.70101
355	5.76980
356	5.91963
357	5.78551
358	5.56433
359	5.34478
360	5.40414
361	4.84067
362	5.01596
363	4.52369
364	4.52157
365	4.41175
366	4.35057
367	3.99051
368	3.71932
369	3.81485
370	3.59902
371	3.45197
372	3.53310
373	3.58881
374	3.12659
375	3.14252
376	3.23074
377	3.22245
378	3.00805
379	3.11403
380	3.01334
381	3.02060
382	3.06393
383	3.19762
384	3.15146
385	3.12171
386	3.16038
387	2.95869
388	3.04117
389	3.15787
390	3.31866
391	3.06204
392	3.24364
393	3.35953
394	3.57350
395	3.43239
396	3.18902
397	3.37272
398	3.30496
399	3.54466
400	3.39278
401	3.39277
402	3.51120
403	3.33299
404	3.32627
405	3.30896
406	3.48053
407	3.21829
408	3.40857
409	3.30691
410	3.25431
411	3.21936
412	2.90028
413	3.22800
