300.0
Energy [keV]	Rate [cps]
450	13.43178
451	11.68903
452	11.79281
453	11.20963
454	11.08723
455	10.36054
456	10.19580
457	9.48497
458	9.10442
459	8.88053
460	8.24567
461	7.98134
462	7.57473
463	7.75027
464	6.88503
465	6.67900
466	6.28438
467	6.26097
468	5.92187
469	5.57343
470	5.58465
471	5.22867
472	5.07308
473	5.04045
474	4.79531
475	4.85098
476	4.46054
477	4.48785
478	4.53133
479	4.02816
480	4.44490
481	4.17860
482	4.24108
483	4.40006
484	4.13758
485	4.07579
486	3.99221
487	4.18616
488	4.35366
489	4.00259
490	3.88363
491	4.26237
492	3.95070
493	3.98327
494	3.99950
495	3.70361
496	4.00428
497	3.73598
498	3.94720
499	4.02562
500	3.86546
501	3.84074
502	3.77655
503	3.60155
504	3.90873
505	3.72431
506	3.67003
507	3.71650
508	3.65957
509	3.98536
510	3.67457
511	3.72255
512	3.84098
513	3.87234
514	3.66092
515	3.56642
516	3.50795
517	3.60184
518	3.38379
519	3.53979
520	3.48776
521	3.53141
522	3.41253
523	3.38279
524	3.39610
525	3.96117
526	3.35000
527	3.31912
528	3.45240
529	3.35113
530	3.21473
531	3.19680
532	3.41401
533	3.33041
534	3.24772
535	3.35012
536	3.23358
537	3.00705
538	3.40409
539	3.19210
540	3.14128
541	3.23191
542	3.12335
543	2.76913
544	3.16336
545	3.11707
546	3.10028
547	2.88649
548	3.21225
549	3.19765
550	3.12709
551	3.40032
552	2.84483
553	3.12921
554	2.97311
555	2.78593
556	2.91643
557	2.85501
558	2.93107
559	2.89611
560	2.88880
561	3.05795
562	2.90099
563	2.80646
564	3.01900
565	2.89614
566	2.99817
567	2.99719
568	2.88858
569	3.19202
570	2.81426
571	2.71978
572	2.86479
573	2.88322
574	2.83038
575	3.09380
576	3.19387
577	2.86921
578	2.81927
579	3.06626
580	2.91307
581	3.06639
582	3.17720
583	2.78918
584	2.94217
585	2.50110
586	2.86472
587	3.05837
588	2.76218
589	2.89298
590	2.90305
591	3.01249
592	2.77244
593	2.57696
594	2.69962
595	2.55753
596	2.39317
597	2.38354
598	0.00000
599	0.00000
